NO_,中国近现代史纲要,大学体育4,物理实验2,形势与政策2,微控制器原理与接口技术
541701010101,78,75,84,79,75
541701010102,87,95,90,93,94
541701010103,85,86,86,86,81
541701010104,87,87,88,91,84
541701010105,81,79,78,83,76
541701010106,89,77,82,85,73
541701010107,81,78,77,80,72
541701010108,88,95,98,90,86
541701010109,85,89,82,88,83
541701010110,75,82,73,74,69
541701010111,89,91,90,90,85
541701010112,85,74,87,83,73
541701010113,47,15,4,41,9
541701010114,88,92,91,87,87
541701010115,79,73,71,76,70
541701010116,84,92,88,87,87
541701010117,92,93,95,96,89
541701010118,82,77,75,82,68
541701010119,75,66,74,74,66
541701010120,82,76,85,75,75
541701010121,85,91,89,85,84
541701010122,76,77,77,76,75
541701010123,86,84,82,84,78
541701010124,86,89,88,89,83
541701010125,81,87,83,84,82
541701010126,85,90,95,91,90
541701010127,84,85,83,85,78
541701010128,83,83,82,80,77
541701010129,90,92,89,89,83
541701010130,88,91,95,94,90
541701010131,86,89,89,89,83
541701010133,84,91,87,87,84
541701010134,88,91,87,88,83
541701010135,85,94,88,89,89
541701010136,87,78,80,84,77
541701010137,88,76,76,81,62
541701010138,83,82,82,83,79
541701010139,83,80,79,85,76
541701010140,84,87,86,88,81
541701010141,91,96,93,94,88
541701010142,77,80,80,77,74
541701010143,85,74,82,78,69
541701010144,85,88,84,85,77
541701010145,84,79,85,80,72
541701010146,81,79,79,81,81
541701010147,78,71,78,78,68
541701010148,86,75,82,82,68
541701010149,85,82,80,88,77
541701010150,82,87,84,84,77
541701010151,82,81,85,85,75
541701010152,83,85,81,84,79
541701010153,86,87,85,84,74
541701010154,84,85,89,86,84
541701010155,80,82,84,78,81
541701010156,87,94,89,92,92
541701010157,80,78,73,78,66
541701010158,87,91,90,88,87
541701010159,82,81,77,82,71
541701010160,83,82,81,84,72
541701010161,83,79,79,80,75
541701010162,84,82,81,88,73
541701010163,75,78,73,75,72
541701010164,86,95,92,92,88
541701010201,88,84,85,84,75
541701010202,92,91,95,93,88
541701010203,9,0,0,1,0
541701010204,84,74,79,75,67
541701010205,84,79,80,84,70
541701010206,85,84,82,88,79
541701010207,85,86,86,82,76
541701010208,89,74,83,84,74
541701010209,85,76,82,78,73
541701010210,83,75,83,82,69
541701010211,87,92,91,92,85
541701010212,86,92,93,91,89
541701010213,90,87,86,87,78
541701010214,91,93,90,91,85
541701010215,76,86,88,80,89
541701010216,35,9,0,29,12
541701010218,10,0,0,0,0
541701010219,87,94,95,91,84
541701010220,89,92,92,92,87
541701010221,82,81,77,86,70
541701010222,87,86,86,84,79
541701010223,83,93,94,90,95
541701010224,84,79,78,83,73
541701010225,84,93,87,90,87
541701010226,87,78,79,87,70
541704010247,77,82,86,48,77
541710020117,91,91,84,76,83
541721030124,96,99,91,73,87
